Timestamp,Elapsed_min,Ch1_sccm,Ch2_sccm,Ch3_sccm,Ch4_sccm
2026-07-21T15:19:07.423385,0.8840,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:08.608453,0.9037,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:09.791520,0.9235,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:10.975588,0.9432,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:12.159656,0.9629,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:13.342724,0.9826,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:14.526791,1.0024,3.700,6.800,-0.900,-2.500
2026-07-21T15:19:15.724860,1.0223,3.700,6.800,-0.800,-2.500
2026-07-21T15:19:16.908928,1.0421,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:18.091995,1.0618,3.600,6.900,-0.800,-2.500
2026-07-21T15:19:19.276063,1.0815,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:20.459131,1.1012,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:21.642198,1.1210,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:22.824266,1.1407,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:24.025335,1.1607,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:25.207402,1.1804,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:26.394470,1.2002,3.700,6.800,-0.800,-2.500
2026-07-21T15:19:27.573538,1.2198,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:28.758605,1.2396,3.700,6.800,-0.800,-2.500
2026-07-21T15:19:29.943673,1.2593,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:31.125741,1.2790,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:32.325809,1.2990,3.700,6.800,-0.800,-2.500
2026-07-21T15:19:33.524878,1.3190,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:34.707946,1.3387,3.600,6.800,-0.800,-2.400
2026-07-21T15:19:35.892013,1.3585,3.700,6.800,-0.800,-2.500
2026-07-21T15:19:37.076081,1.3782,3.700,6.800,-0.900,-2.500
2026-07-21T15:19:38.260149,1.3979,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:39.444217,1.4177,3.700,6.800,-0.700,-2.500
2026-07-21T15:19:40.628284,1.4374,3.600,6.800,-0.800,-2.600
2026-07-21T15:19:41.812352,1.4571,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:42.996420,1.4769,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:44.181487,1.4966,3.700,6.800,-0.800,-2.500
2026-07-21T15:19:45.364555,1.5163,3.600,6.800,-0.800,-2.400
2026-07-21T15:19:46.548623,1.5361,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:47.732691,1.5558,3.700,6.700,-0.800,-2.500
2026-07-21T15:19:48.916758,1.5755,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:50.100826,1.5953,3.700,6.800,-0.900,-2.400
2026-07-21T15:19:51.284894,1.6150,3.700,6.800,-0.800,-2.500
2026-07-21T15:19:52.468961,1.6347,3.600,6.800,-0.900,-2.500
2026-07-21T15:19:53.653029,1.6545,3.600,6.700,-0.800,-2.500
2026-07-21T15:19:54.838097,1.6742,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:56.022165,1.6940,3.600,6.800,-0.800,-2.500
2026-07-21T15:19:57.205232,1.7137,3.700,6.800,-0.900,-2.500
2026-07-21T15:19:58.388300,1.7334,3.600,6.800,-0.800,-2.400
2026-07-21T15:19:59.572368,1.7531,3.600,6.700,-0.800,-2.500
2026-07-21T15:20:00.755435,1.7729,3.700,6.800,-0.800,-2.600
2026-07-21T15:20:01.939503,1.7926,3.700,6.900,-0.800,-2.500
2026-07-21T15:20:03.124571,1.8123,3.600,6.800,-0.800,-2.500
2026-07-21T15:20:04.307639,1.8321,3.700,6.800,-0.700,-2.600
2026-07-21T15:20:05.491706,1.8518,3.700,6.800,-0.800,-2.500
